Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive science,Philosophy
Fudan,Health & Medicine,,G,12,1,0,0,0,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeorgiaTech,Foundational Advance,,S,10,,0,0,0,,0.5,,,3,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GES_NCSU_Raleigh_NC,Policy & Practices,Best Policy&Practices Project,S,10,,0,0,2,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,
Glasgow,New Application,,G,10,,0,0,0,0.5,7.5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goettingen,Health & Medicine,,B,11,2,0,0,0,,3.5,,,3.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannover,Environment,,S,11,9,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrisburg_NBT,Environment,,N,3,,0,0,0,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
HFUT_CHINA,Software,,G,9,1,0,0,0,,,,,,,,,,,0.5,,,3,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
HokkaidoU_Japan,Foundational Advance,,B,14,,0,1,0,1,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Hong_Kong_HKUST,Health & Medicine,,N,21,5,0,0,0,,6.5,,,5,,1.5,1.5,,,,,,,0.5,,,,,,,,,,,,,,,1,,,,,,,,,,
IIT_Delhi,Environment,,B,21,8.5,0,0,0,,,,,,1,8.5,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Imperial,Manufacturing,"Best Part Collection, Undergrad; Best Manufacturing Project; Finalist, Undergrad; First Runner Up, Undergrad",G,9,0.5,0,0,0,,3,,,2,,,,,,,3,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
ITB_Indonesia,Environment,,G,18,,0,0,0,,7,,,,,,,,,1.5,,0.5,5.5,0.5,,1.5,,,,,,,0.5,,,,,,,,1,,,,,,,,
ITESM-CEM,Health & Medicine,,S,12,10,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
KAIT_JAPAN,Health & Medicine,,N,24,,0,0,0,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent,Manufacturing,,B,8,,0,2,0,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIT-Kyoto,Energy,,S,12,,0,0,0,,11,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,
LIKA-CESAR-Brasil,Health & Medicine,,S,8,,0,5,0,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester,Food & Nutrition,,N,6,1,0,2,0,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,2,,,,,,
Marburg,New Application,,G,15,,0,3,0,,7,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Melbourne,Manufacturing,,B,20,,0,13,0,,2,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
METU_Turkey,Environment,,B,9,,0,0,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri_Miners,Environment,,B,41,,0,0,0,,16.5,,0.5,2,,3,11,,,,,,5,1,,,0.5,,,,1.5,,,,,,,,,,,,,,,,,,
Nagahama,New Application,,S,5,,0,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Foundational Advance,,S,5.5,,0,0.5,0,,0.75,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRP-UEA-Norwich,Food & Nutrition,,G,6,,0,1,0,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTNU_Trondheim,Environment,,G,7,4,0,0,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUC-China,New Application,,B,14,2,0,0,0,,7.5,,,1.5,,,,,,,,,0.5,1.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
